idsbr;nama_usaha;alamat;kdprov;kdkab;kdkec;kddesa;latitude;longitude;kbli;deskripsi_usaha;foto_usaha;foto_produk;catatan;petugas_id
42834184;ASHADEN JAYA MANDIRI;Jalan Garuda;16;74;011;002;;;;;;;;
42834479;BERSAMA SAUDARA TIDAK SEDARAH;Jl. proyek no. 105;16;74;011;001;;;;;;;;
42834217;BINA HESA RAWAS;Jl. Dayan Torek;16;74;011;007;;;;;;;;
42834517;ASOSIASI DOSEN PERGURUAN TINGGI KEAGAMAAN ISLAM SWASTA INDONESIA;Jalan Pelita No.364;16;74;011;007;;;;;;;;
42834544;ABDULLAH BERKAH MANDIRI;Jalan Garuda;16;74;011;009;;;;;;;;
42835126;DAMAI GEMILANG ESTATE;JALAN SIMPANG SMA 1;16;74;011;007;;;;;;;;
42835143;FORUM WARTAWAN DAERAH;JL PATIMURA;16;74;011;011;;;;;;;;
42835078;ALBAROKAH MADANI LUBUKLINGGAU;JL. Depati Said NO.208;16;74;011;007;;;;;;;;
42835192;ZHA EVENT ORGANIZER;JALAN GARUDA NOMOR 48;16;74;011;005;;;;;;;;
42835314;AA SEDULUR;JL. GARUDA, NO. 93;16;74;011;005;;;;;;;;
42835421;MAJU NUSANTARA INDAH;Jalan Garuda Hitam Nomor 36;16;74;011;006;;;;;;;;
44555535;ELFATIH JAYA PERKASA;Jalan Garuda, Rukun Tetangga 008, Kelurahan Bandung Ujung, Kecamatan Lubuklinggau Barat I, Kota Lubuklinggau, Provinsi Sumatera Selatan.;16;74;011;008;;;;;;;;
45628587;AUFARK;JALAN PATIMURA;16;74;011;010;;;;;;;;
44563564;NATASYA JELITA PUTRI;JALAN RAMIN BLOK G NOMOR 37;16;74;011;005;;;;;;;;
45637694;HABIBIE CENTER INTERTAIMENT;Jl. Jend. Pol Moch Hasan;16;74;011;011;;;;;;;;
44564860;ALREFAZA JAYA MANDIRI;JALAN SELATAN;16;74;011;006;;;;;;;;
45090280;MULIA FITRAH ABADI;jl. kamboja no 447;16;74;011;004;;;;;;;;
43462809;FATIMAH MEDIKA GROUP;JL. PELITA;16;74;011;003;;;;;;;;
43466912;UTAMA ARSYAKA;PRUMAHAN LEMATANG ENIM BLOK O NOMOR 8;16;74;011;011;;;;;;;;
42835842;PUSKESMAS PERUMNAS;Jl.Cendana;16;74;011;005;;;;;;;;
42835963;TIGA PUTRA SILAMPARI;Jalan Ramin III, Blok G, No.110;16;74;011;005;;;;;;;;
42836118;PUSKESMAS MAHA PRANA;Jl. Jend.Moh.Hasan RT.08 Komplek Griya Tanjung Sejahtera;16;74;011;003;;;;;;;;
42835902;AROMA RESTO LINGGAU;Jl. Garuda No.06;16;74;011;005;;;;;;;;
42836782;KIRAN TUNAS MANDIRI;Jalan Jend Pol Moch Hasan;16;74;011;011;;;;;;;;
43720502;BIRO PERDANA MANDIRI;Jl. Pelita Gang Marga No 386 RT. 007 Pelita Jaya Lubuklinggau Barat 1 Kota Lubuklinggau;16;74;011;007;;;;;;;;
43475881;SRIWIJAYA GEMILANG ABADI;JALAN TEMBESU BLOK F NO 167;16;74;011;005;;;;;;;;
42837000;ALOSA ANDIL SEJAHTERA;JALAN GARUDA NOMOR 08;16;74;011;002;;;;;;;;
42837201;UPPKA DAPUR LINDA;JL. POROS PERUM MADANI RESIDENCE BLOK F. 05;16;74;011;011;;;;;;;;
42837238;SUNGAI TAKTOI BERSATU;JALAN GARUDA NOMOR 14;16;74;011;005;;;;;;;;
42837198;UPPKS PEYEK SIUKAJADI;JL. LETKOL ATMO NO. 341;16;74;011;010;;;;;;;;
42837181;LINGGAU CINTA SUNNAH;JL. Depati Jati;16;74;011;001;;;;;;;;
42836964;BHUMIPUTERA ORIEN SILAMPARI;Perumahan Bukit Hijau, Jalan Cek Dam;16;74;011;010;;;;;;;;
42837207;UPPKA DAFUER IBU;JL. POROS GG. RUSLAN;16;74;011;006;;;;;;;;
43721558;GUNUNG EMAS ENERGY;JALAN MOHAMAD HASAN GANG MUFAKAT;16;74;011;011;;;;;;;;
42837923;DZAKY ABELL TEKNOLOGI;JALAN YOS SUDARSO;16;74;011;001;;;;;;;;
42838323;GOLDEN TRI JAYA;JALAN GARUDA NOMOR 46;16;74;011;001;;;;;;;;
42838251;TIGA SERANGKAI CINDO;JALAN KETITIRAN NO. 161;16;74;011;008;;;;;;;;
42838414;TIGA PUTRI CANTIK;JALAN KELAPA GADING;16;74;011;004;;;;;;;;
42838713;BINTANG NUSANTARA KEADILAN;Jl. Garuda;16;74;011;006;;;;;;;;
42838617;UPPKA BERKAH;JL. LETKOL ATMO;16;74;011;009;;;;;;;;
42839143;HAFID MAJU BERSAMA;Jalan Garuda Nomor 14;16;74;011;003;;;;;;;;
42839049;FORTUNE GOLD CONSTRUCTION;JALAN GARUDA NO.588;16;74;011;008;;;;;;;;
42839184;ARGO MUSI PERSADA;JALAN CENDANA BLOK G NOMOR 121;16;74;011;005;;;;;;;;
42839770;HARRY JAYA ENERGY;Jalan Pembangunan;16;74;011;006;;;;;;;;
43483119;MOTION NOTION PERDANA;Jl. Garuda No.23, RT. 02, Lubuk Aman, Lubuklinggau Barat 1, Lubuklinggau, Sumatera Selatan;16;74;011;006;;;;;;;;
42839595;PEMPEK IKAN DESTI;JL. GARUDA GG. WIRA;16;74;011;003;;;;;;;;
42839593;KEDAI MAMA BIA;JL. GARUDA NO. 49;16;74;011;003;;;;;;;;
42839897;PRIORITAS PENDIDIKAN INDONESIA;Jalan Surian Blok F Nomor 648;16;74;011;005;;;;;;;;
42840206;CAHYA KENCANA SRIWIJAYA;JL. JEND (POL) MOCH HASAN;16;74;011;003;;;;;;;;
42840153;CAHAYA SENTRAL ENERGI;Jl. Jend Pol Moch Hasan;16;74;011;003;;;;;;;;
42840533;BERSATU BERSAMA JURNALIS;Jalan Ketitiran Nomor 247;16;74;011;008;;;;;;;;
44893647;KERAK KETAN MAK WIK;JL. GARUDA NO. 200;16;74;011;001;;;;;;;;
42840849;LINGGAU MUSI LINTANG MEDIA;JALAN JENDERAL POLISI MOCH HASAN, GRIYA TANJUNG SEJATERAH, TANPA NOMOR;16;74;011;003;;;;;;;;
42840944;PARAHYANGAN JAYA SENTOSA;Jalan Padat Karya Nomor 247;16;74;011;002;;;;;;;;
45747921;LENTERA TERANG SEJATI;Perumahan Bukit Hijau, Jalan Cek Dam;16;74;011;010;;;;;;;;
43499987;WATAS SYIFAA MEDICAL;Jl. Garuda No. 185;16;74;011;002;;;;;;;;
43500576;ALAN BROTHERS;Jl. GARUDA, KOMPLEK PERUMAHAN GREEN GARDEN, BLOK. B 2;16;74;011;001;;;;;;;;
43730809;BINTANG GEMILANG NUSANTARA;JALAN PELITA JAYA;16;74;011;007;;;;;;;;
43730816;TIGA REBORN JAYA;JL. H. AMBAR NOMOR 606;16;74;011;003;;;;;;;;
44933115;ALHIKAM ALHAQ ALMUNAWARAH;Jalan Garuda Nomor 03;16;74;011;003;;;;;;;;
44127444;WIJAYA MINING RESOURCES;jalan garuda;16;74;011;004;;;;;;;;
46369613;SINAGA SEJAHTERA FARMA;Jl. Garuda;16;74;011;005;;;;;;;;
46369860;BUNGA DIMAS NADA;Jalan Garuda;16;74;011;001;;;;;;;;
44964658;HIJAU HITAM NUSANTARA;Muara Enim;16;74;011;011;;;;;;;;
44964632;CAKRA LINGGAU PERKASA;Jalan Garuda Nomor 154;16;74;011;005;;;;;;;;
46371043;SD AISYIYAH;JL. Pelita No. 294;16;74;011;007;;;;;;;;
46298926;BOS MUDA KONTRAKTOR;Jalan Beringin Nomor 50, Blok A;16;74;011;005;;;;;;;;
44172733;SEKOLAH BISNIS ALAZHAAR;Jln. Pelita No.364;16;74;011;007;;;;;;;;
45002504;MATARAM JAYAH INVESTAMAA;JALAN KELUARGA NOMOR 309;16;74;011;007;;;;;;;;
44180272;SMKANDA LUBUKLINGGAU BISA;Jalan Garuda No.210;16;74;011;006;;;;;;;;
45520887;DIANA UTAMA PUTRI;Jalan Patimura, Rukun Tetangga 007, Kelurahan Sukajadi, Kecamatan, Lubuk linggau Barat I, Kota Lubuk Linggau, Provinsi Sumatera Selatan;16;74;011;010;;;;;;;;
46427343;PATRICIA ENERGY SILAMPARI;Jalan Jendral Pol Moch Hasan, RT. 004;16;74;011;004;;;;;;;;
46662826;FORUM WARTAWAN DAERAH;JL PATIMURA;16;74;011;011;;;;;;;;
46673641;ZHA EVENT ORGANIZER;JALAN GARUDA NOMOR 48;16;74;011;005;;;;;;;;
46364185;ALBAROKAH MADANI LUBUKLINGGAU;JL. Depati Said NO.208;16;74;011;007;;;;;;;;
46681915;SUMBER GASINDO ABADI;JL. POROS LINGKAR SELATAN RT.004 KEL.TANJUNG INDAH KEC.LUBUKLINGGAU BARAT 1;16;74;011;004;;;;;;;;
46681656;AA SEDULUR;JL. GARUDA, NO. 93;16;74;011;005;;;;;;;;
46691624;MAJU NUSANTARA INDAH;Jalan Garuda Hitam Nomor 36;16;74;011;006;;;;;;;;
46723510;DAMAI GEMILANG ESTATE;JALAN SIMPANG SMA 1;16;74;011;007;;;;;;;;
44254693;RISKY AKBAR SEJAHTERA;Jl. Ketitiran;16;74;011;008;;;;;;;;
46759804;4R BROTHERS;Jalan Garuda Nomor. 39;16;74;011;005;;;;;;;;
46883820;TIGA PUTRA SILAMPARI;Jalan Ramin III, Blok G, No.110;16;74;011;005;;;;;;;;
43702473;PAUD AISYIYAH;JL. DEPATI SAID;16;74;011;004;;;;;;;;
46929740;AROMA RESTO LINGGAU;Jl. Garuda No.06;16;74;011;005;;;;;;;;
43708987;SURYA SEKAWAN LUBUKLINGGAU;JALAN LETKOL ATMO NOMOR 23;16;74;011;009;;;;;;;;
43719042;ELEKTRIKAL TEKNO PAL;JALAN RAMIN I BLOK G;16;74;011;005;;;;;;;;
43718737;NUSA JAYA DEVELOPMENT;Jalan Letkol Atmo;16;74;011;010;;;;;;;;
46997796;HARTANJAYA AUTO BETUAH;Jalan Garuda, No. 16;16;74;011;006;;;;;;;;
47087339;SILAMPARI KARYA MANDIRI;Jalan Cendana;16;74;011;004;;;;;;;;
44829637;HARRY FAMS;Jalan Pembangunan;16;74;011;006;;;;;;;;
47268915;PUSKESMAS PERUMNAS;Jl.Cendana;16;74;011;005;;;;;;;;
47162505;PUSKESMAS MAHA PRANA;Jl. Jend.Moh.Hasan RT.08 Komplek Griya Tanjung Sejahtera;16;74;011;003;;;;;;;;
47392974;KIRAN TUNAS MANDIRI;Jalan Jend Pol Moch Hasan;16;74;011;011;;;;;;;;
47421572;ANDIRA DAHAYU;Jalan Garuda nomor 8;16;74;011;009;;;;;;;;
47410178;NANSUKO LINGGAU BISA;JL.PATIMURA;16;74;011;010;;;;;;;;
47471737;BHUMIPUTERA ORIEN SILAMPARI;Perumahan Bukit Hijau, Jalan Cek Dam;16;74;011;010;;;;;;;;
47607927;ALOSA ANDIL SEJAHTERA;JALAN GARUDA NOMOR 08;16;74;011;002;;;;;;;;
47679017;MATARAM JAYAH INVESTAMAA;JALAN KELUARGA NOMOR 309;16;74;011;007;;;;;;;;
47614655;ENI CIPTA MANDIRI;JL. Jend. Pol. Moch Hasan;16;74;011;011;;;;;;;;
47670933;LINGGAU CINTA SUNNAH;JL. Depati Jati;16;74;011;001;;;;;;;;
47727971;WAHANA MUSI RAWAS;Jalan Dayang Torek Gang BBJ;16;74;011;003;;;;;;;;
47728802;SUNGAI TAKTOI BERSATU;JALAN GARUDA NOMOR 14;16;74;011;005;;;;;;;;
47729165;UPPKS PEYEK SIUKAJADI;JL. LETKOL ATMO NO. 341;16;74;011;010;;;;;;;;
47729230;UUPKA CEMPIRING;jl.patimura;16;74;011;011;;;;;;;;
47729603;UPPKA DAPUR LINDA;JL. POROS PERUM MADANI RESIDENCE BLOK F. 05;16;74;011;011;;;;;;;;
47788194;LAWU KIRMA PRATAMA;JALAN PELITA GANG SAHABAT NOMOR.366;16;74;011;007;;;;;;;;
47720196;UPPKA DAFUER IBU;JL. POROS GG. RUSLAN;16;74;011;006;;;;;;;;
47846139;KREATIF NUSANTARA GRUP;JL. GARUDA;16;74;011;003;;;;;;;;
48057042;CAHAYA SILAMPARI;Perumahan Green Garden Residence I Blok D-05;16;74;011;001;;;;;;;;
48104063;GOLDEN TRI JAYA;JALAN GARUDA NOMOR 46;16;74;011;001;;;;;;;;
48075974;CAHAYA MUTIARA KONSTRUKSI;Jln. Pembangunan Lrg.Misti. No.520;16;74;011;006;;;;;;;;
48112808;TIGA SERANGKAI CINDO;JALAN KETITIRAN NO. 161;16;74;011;008;;;;;;;;
48150024;UPPKA BERKAH;JL. LETKOL ATMO;16;74;011;009;;;;;;;;
48180087;TIGA PUTRI CANTIK;JALAN KELAPA GADING;16;74;011;004;;;;;;;;
48402107;FORTUNE GOLD CONSTRUCTION;JALAN GARUDA NO.588;16;74;011;008;;;;;;;;
48337484;DZAKY ABELL TEKNOLOGI;JALAN YOS SUDARSO;16;74;011;001;;;;;;;;
48306105;BINTANG NUSANTARA KEADILAN;Jl. Garuda;16;74;011;006;;;;;;;;
48581712;SD MUHAMMADIYAH;JL. LETKOL ATMO NO. 23;16;74;011;009;;;;;;;;
48632587;HAFID MAJU BERSAMA;Jalan Garuda Nomor 14;16;74;011;003;;;;;;;;
48583508;KEDAI MAMA BIA;JL. GARUDA NO. 49;16;74;011;003;;;;;;;;
48583514;PEMPEK IKAN DESTI;JL. GARUDA GG. WIRA;16;74;011;003;;;;;;;;
48608620;ARGO MUSI PERSADA;JALAN CENDANA BLOK G NOMOR 121;16;74;011;005;;;;;;;;
48670647;IBNU IMAM SYAFII;JALAN CEKDAM;16;74;011;010;;;;;;;;
48641923;JAYA LESTARI PERKASA;JL GARUDA NO 51;16;74;011;008;;;;;;;;
48657770;SERBA VOUCHER INDONESIA;JL. H. AMBAR NO. 614;16;74;011;003;;;;;;;;
48687475;CENDANA EMPAT TUJUH;JALAN CENDANA BLOK C NOMOR 47;16;74;011;005;;;;;;;;
48812425;CAHAYA SENTRAL ENERGI;Jl. Jend Pol Moch Hasan;16;74;011;003;;;;;;;;
48813724;HARRY JAYA ENERGY;Jalan Pembangunan;16;74;011;006;;;;;;;;
48786704;SWARNA DWIPA SPICES;Jl. Perumnas H.Said;16;74;011;008;;;;;;;;
48867231;PUTRI PAGUN PERSADA;Jl. Garuda;16;74;011;003;;;;;;;;
48869532;CAR WASH ZED;GRIYA CEMARA PERBANKIN NO.57;16;74;011;001;;;;;;;;
48887799;NAWASENA GEMILANG ABADI;Jalan Depati Said Dalam;16;74;011;004;;;;;;;;
48889711;PRIORITAS PENDIDIKAN INDONESIA;Jalan Surian Blok F Nomor 648;16;74;011;005;;;;;;;;
49070921;CAHYA KENCANA SRIWIJAYA;JL. JEND (POL) MOCH HASAN;16;74;011;003;;;;;;;;
49233222;PARAHYANGAN JAYA SENTOSA;Jalan Padat Karya Nomor 247;16;74;011;002;;;;;;;;
49222126;LINGGAU MUSI LINTANG MEDIA;JALAN JENDERAL POLISI MOCH HASAN, GRIYA TANJUNG SEJATERAH, TANPA NOMOR;16;74;011;003;;;;;;;;
44288477;ILHAM MITRA BERSAMA;Jl. LETNAN KOLONEL ATMO NO.224;16;74;011;010;;;;;;;;
49347426;BERSATU BERSAMA JURNALIS;Jalan Ketitiran Nomor 247;16;74;011;008;;;;;;;;
49367283;AL-HAADI LUBUKLINGGAU;JL. Padat Karya No.99;16;74;011;001;;;;;;;;
45918055;RKS SUKSES MANDIRI;JALAN HAJI MATNUR PERUMAHAN LEMATANG ENIM BLOK F 7;16;74;011;011;;;;;;;;
58687905;PROF. AMZULIAN RIFAI, SH, LLM, PHD;Jalan Garuda;16;74;011;;;;;;;;;
46133605;BINA HESA RAWAS;Jl. Dayan Torek;16;74;011;007;;;;;;;;
58199080;LINGGA ANGGRAINI;Jl. Depati Said;16;74;011;;;;;;;;;
57575458;HUSNUL KHOTIMAH;Jl.PELITA;16;74;011;003;;;;;;;;
58392028;SRIWIJAYA GEMILANG ABADI;JALAN TEMBESU BLOK F NO 167;16;74;011;;;;;;;;;
58593367;JULIUS JATRA;Jl. Garuda RT.008;16;74;011;;;;;;;;;
46082358;IKO FARMA SEJAHTERA LINGGAU;PERUMAHAN GREEN GARDEN BLOK J 1;16;74;011;001;;;;;;;;
46047949;AMRI BUMI PERSADA;JALAN GARUDA, NOMOR 51;16;74;011;003;;;;;;;;
58482395;DANIEL IRAWADI;Jalan Garuda No. 700;16;74;011;;;;;;;;;
46142571;BINA AUFA CENDIKIA;KAMPUNG SALAK SEI KELINGI;16;74;011;007;;;;;;;;
58210145;BINTANG GEMILANG NUSANTARA;jl. pelita jaya;16;74;011;;;;;;;;;
58279414;SEPTIANA PERMATASARI;jalan Pattimura kelurahan muara enim rt 01 nomor 34;16;74;011;;;;;;;;;
58651542;ARI NOVITA;Jl. garuda No. 67;16;74;011;;;;;;;;;
57592589;Louisa Skin and Body Care;Jl.Garuda no.48 RT.02 kel.Tanjung aman;16;74;011;;;;;;;;;
58195862;NURCAHAYA;Jl. patimura;16;74;011;;;;;;;;;
43952968;AZ-ZAHIRA;JL. H. SAID PERUMNAS LUBUK TANJUNG;16;74;011;008;;;;;;;;
46141337;ASOSIASI DOSEN PERGURUAN TINGGI KEAGAMAAN ISLAM SWASTA INDONESIA;Jalan Pelita No.364;16;74;011;007;;;;;;;;
58175815;HARTATI;di dekat pom bensin lubuk tanjung lubuklinggau;16;74;011;;;;;;;;;
58175811;M. RIDUAN;Di Lapangan Tembak Perbakin Lubuklinggau;16;74;011;;;;;;;;;
43974558;GEMA RAKYAT MEDIA;Jl. Jend. Pol.Moch.Hasan Komp. Griya Asri;16;74;011;011;;;;;;;;
58200298;EPRI SELVIANTI;Jalan Garuda depan SMP Xaverius lubuk aman lubuk linggau barat l sumatera selatan;16;74;011;;;;;;;;;
58458460;TIARA JASMINE PUTRI;Jl. Garuda Kel. Lubu Tanjung Kec. Lubuk Linggau Barat 1 Depan Masjid Ar-Rohman Lubuk Tanjung;16;74;011;;;;;;;;;
58397911;ANDRIYANTO;Jl. Garuda;16;74;011;;;;;;;;;
45986002;HIDAYAH GEMILANG MANDIRI;Jl depati said no.09;16;74;011;007;;;;;;;;
43965277;ONREZ AGRO TANI;Jalan Perumdam;16;74;011;003;;;;;;;;
43960424;HASIL ALAM SUMATRA;JL. DEPATI SAID GG.SERUMPUN I NO.64;16;74;011;007;;;;;;;;
46072561;ABDULLAH BERKAH MANDIRI;Jalan Garuda;16;74;011;009;;;;;;;;
46058745;PERMATA NUSANTARA AL-AZHAAR;JALAN PELITA;16;74;011;007;;;;;;;;
58591380;CANTIKA MAHARANI;Jl Letkol Atmo No 559 RT 06;16;74;011;;;;;;;;;
58461507;WAYANA;di dekat masjid agung lapangan kurma;16;74;011;;;;;;;;;
43978757;TRIKARYA ANTASYAH PERSADA;Jl. Perbakin;16;74;011;001;;;;;;;;
57552033;Ar-Rizqy;Jl. Garuda no. 14;16;74;011;009;;;;;;;;
46083162;ASHADEN JAYA MANDIRI;Jalan Garuda;16;74;011;002;;;;;;;;
45986119;BERSAMA SAUDARA TIDAK SEDARAH;Jl. proyek no. 105;16;74;011;001;;;;;;;;
46117487;DANAU WISATA RELIGI ALAZHAAR;Jalan Pelita No. 365 Kel. Pelita Jaya RT.07 Kec. Lubuklinggau Barat I Kota Lubuklinggau;16;74;011;007;;;;;;;;
58349770;MASAYU MARDALENA;Jalan Depati Said;16;74;011;;;;;;;;;
58459522;APRI KUSWANTO;jl. garuda depan SMA N1;16;74;011;;;;;;;;;
95671388;PAUD ANAK SHOLEH (JONI);JL SERAWAI;16;74;011;003;;;;;;;;
95671387;PRAKTEK BIDAN (NURLELA);JL GARUDA;16;74;011;003;;;;;;;;
95671385;JUAL GAS ELPIJI (P AGUS);JL GARUDA;16;74;011;003;;;;;;;;
95672655;TK PERTIWI;Jl. Garuda No.404, Bandung Ujung;16;74;011;008;;;;;;;;
95671816;TIGA RAKSA (BASTARI), CV;JL H SAID NO 54;16;74;011;008;;;;;;;;
95671911;TEKUN PD;JALAN GARUDA;16;74;011;009;;;;;;;;
95671912;RUMAH MAKAN HUJAN GERIMIS (EDI CANDRA);JALAN GARUDA;16;74;011;009;;;;;;;;
95671917;PENYEWAAN PELAMINAN(EMI);JALAN KOPRAL MUKTAR;16;74;011;009;;;;;;;;
95671913;LINGGAU TREVEL;JALAN GARUDA;16;74;011;009;;;;;;;;
95671915;FOTO COPY DAN ATK (YAN BASRI);JALAN LETKOL ATMO;16;74;011;009;;;;;;;;
95671926;YAYAN TOUR AND TRAVEL;JALAN LETKOL ATMO;16;74;011;009;;;;;;;;
95671909;STEAM <LILI>;JALAN GARUDA;16;74;011;009;;;;;;;;
95671920;KOPERASI SD MUHAMMADIYAH;JALAN LETKOL ATMO;16;74;011;009;;;;;;;;
95671922;KOPERASI SMP MUHAMMADIYAH;JALAN LETKOL ATMO;16;74;011;009;;;;;;;;
95671929;TOKO SEMBAKO (IRUL);JL LETKOL ATMO;16;74;011;009;;;;;;;;
95671453;PRAKTEK BIDAN (RENY);JALAN CENDANA NO 430;16;74;011;004;;;;;;;;
95671460;GUDANG BINTANG SRIWIJAYA, PT;JL GARUDA;16;74;011;004;;;;;;;;
95671451;ISI ULANG AIR MINUM;JL GARUDA;16;74;011;003;;;;;;;;
95671465;KLINIK MADINAH;JALAN GARUDA;16;74;011;004;;;;;;;;
95671472;MEBEL (SUPRIATNO);JL CENDANA NO 275;16;74;011;005;;;;;;;;
95671467;UNTUNG TENDA (SUMARDI);JL CENDANA GG BECEK;16;74;011;005;;;;;;;;
95671468;PANGKALAN GAS (SIGIT);JL CENDANA NO 219;16;74;011;005;;;;;;;;
95671463;PAUD AISYIYAH;JALAN DEPATI SAID;16;74;011;004;;;;;;;;
95671469;MEBEL (ZAINUL);JL CENDANA NO 250;16;74;011;005;;;;;;;;
95671470;BENGKEL LAS (SUKIRMAN);JL CENDANA RT 04 KEL TANJUNG AMAN;16;74;011;005;;;;;;;;
95672020;PENJUAL LPG (BERNIDHO);JALAN LETKOL ATMO;16;74;011;009;;;;;;;;
95672021;PAUD AZHAR;JL LETKOL ATMO;16;74;011;009;;;;;;;;
95671541;PRAKTEK BIDAN(YETI YOSEPH);JL RAMIN 3;16;74;011;005;;;;;;;;
95671555;SPERALATAN MEDIS <INDRA>;JALAN JAYA;16;74;011;005;;;;;;;;
95671567;WARUNG SEMBAKO (RUSMIATI);JL GARUDA NO 190;16;74;011;005;;;;;;;;
95671568;PANGKALAN GAS ELPIJI (SRI S);JL GARUDA NO 167;16;74;011;005;;;;;;;;
95671569;PANGKALAN GAS ELPIJI <MAHMUD>;JL GARUDA;16;74;011;005;;;;;;;;
95672037;PEMPEK CEK NI (DANIARTI);JL.PATIMURA;16;74;011;010;;;;;;;;
95671542;GUDANG GALON;JL RAMIN 3;16;74;011;005;;;;;;;;
95671476;KOPERASI KJB;JL MAHONI BLOK B NO 31;16;74;011;005;;;;;;;;
95672030;ORGEN TUNGGAL ENG;JLN GARUDA;16;74;011;009;;;;;;;;
95672039;LUBASSA. CV;JL LETKOL ATMO GG AMANAH NO 03;16;74;011;010;;;;;;;;
95671546;PRATEK BIDAN(SILIWANI);JL CENDANA NO 683;16;74;011;005;;;;;;;;
95671547;PERSEWAAN RUMAH(SASMI);JL TEMBESU NO 694;16;74;011;005;;;;;;;;
95671466;BADMA COLLEGE (ANDI);JL CENDANA NO 207;16;74;011;005;;;;;;;;
95671545;PENGGILINGAN KOPI (M. TOPIK);JL. TEMBESU NO.693;16;74;011;005;;;;;;;;
95671565;GAMA, CV;JALAN BUNGUR;16;74;011;005;;;;;;;;
95672024;CAFE SALIMUN(ROMADI);JLN GARUDA;16;74;011;009;;;;;;;;
95671543;PENJUALAN AIR ISI ULANG (M YUHNI);JL TEMBESU;16;74;011;005;;;;;;;;
95671544;PERSEWAAN BEDENG;JL TEMBESU;16;74;011;005;;;;;;;;
95671562;PRAKTEK BIDAN (SAHIDA);JL GAYA;16;74;011;005;;;;;;;;
95671639;CV PRINA MOTOR <JUFRIZAL>;JL GARUDA NO 105;16;74;011;005;;;;;;;;
95671638;OJEK MOTOR (AMSI);JL GARUDA NO. 110;16;74;011;005;;;;;;;;
95672154;KOPERASI KELILING ( ZAWIYAH );JALAN HMATNUR;16;74;011;011;;;;;;;;
95672152;USAHA KOPERASI (YULIARSI);JALAN PATIMURA GANG RODIAH;16;74;011;011;;;;;;;;
95671645;ISI ULANG AIR GALON (ZAWIYAH);JL GARUDA;16;74;011;005;;;;;;;;
95671646;GALON (MARIA);J L GARUDA NO 6 9;16;74;011;005;;;;;;;;
95671661;PUSKESMAS PEMBANTU;JL GARUDA;16;74;011;006;;;;;;;;
95672149;USAHA KOPERASI (DARWANA);JALAN PATIMURA NO 02;16;74;011;011;;;;;;;;
